time	W	Freq	Temp
1615072318.17	5.439	1900000	70.0	
1615072318.37	5.439	1800000	70.0	
1615072318.57	5.439	1700000	69.0	
1615072318.77	5.393	1800000	69.0	
1615072318.97	5.393	1900000	70.0	
1615072319.17	5.393	1800000	70.0	
1615072319.37	5.393	1900000	70.0	
1615072319.57	5.393	1800000	70.0	
1615072319.77	5.596	1700000	69.0	
1615072319.97	5.596	1800000	69.0	
1615072320.17	5.596	1900000	70.0	
1615072320.37	5.596	1800000	70.0	
1615072320.57	5.596	1700000	69.0	
1615072320.77	5.596	1800000	69.0	
1615072320.97	5.63	1900000	70.0	
1615072321.17	5.63	1800000	70.0	
1615072321.37	5.63	1700000	69.0	
1615072321.57	5.63	1800000	69.0	
1615072321.77	5.042	1900000	70.0	
1615072321.98	5.042	1800000	70.0	
1615072322.18	5.042	1700000	69.0	
1615072322.38	5.042	1800000	69.0	
1615072322.58	5.042	1900000	70.0	
1615072322.78	5.283	1800000	70.0	
1615072322.98	5.283	1700000	69.0	
1615072323.18	5.283	1800000	69.0	
1615072323.38	5.283	1900000	70.0	
1615072323.58	5.283	1800000	70.0	
1615072323.78	5.546	1700000	69.0	
1615072323.98	5.546	1800000	69.0	
1615072324.18	5.546	1900000	70.0	
1615072324.38	5.546	1800000	70.0	
1615072324.58	5.546	1700000	69.0	
1615072324.78	5.546	1800000	69.0	
1615072324.98	5.565	1900000	70.0	
1615072325.18	5.565	1800000	70.0	
1615072325.38	5.565	1700000	69.0	
1615072325.58	5.565	1800000	69.0	
1615072325.78	5.103	1900000	70.0	
1615072325.98	5.103	1800000	70.0	
1615072326.18	5.103	1700000	69.0	
1615072326.38	5.103	1800000	69.0	
1615072326.58	5.103	1900000	70.0	
1615072326.78	5.374	1800000	70.0	
1615072326.98	5.374	1700000	69.0	
1615072327.18	5.374	1800000	69.0	
1615072327.38	5.374	1900000	70.0	
1615072327.58	5.374	1800000	70.0	
1615072327.78	5.302	1700000	69.0	
1615072327.98	5.302	1800000	69.0	
1615072328.18	5.302	1900000	70.0	
1615072328.38	5.302	1800000	70.0	
1615072328.58	5.302	1700000	69.0	
1615072328.78	5.47	1800000	69.0	
1615072328.98	5.47	1900000	70.0	
1615072329.18	5.47	1800000	70.0	
1615072329.39	5.47	1700000	69.0	
1615072329.59	5.47	1800000	69.0	
1615072329.79	5.057	1900000	70.0	
1615072329.99	5.057	1800000	70.0	
1615072330.19	5.057	1700000	69.0	
1615072330.39	5.057	1800000	69.0	
1615072330.59	5.057	1900000	70.0	
1615072330.79	5.424	1800000	70.0	
1615072330.99	5.424	1700000	69.0	
1615072331.19	5.424	1800000	69.0	
1615072331.39	5.424	1900000	70.0	
1615072331.59	5.424	1800000	70.0	
1615072331.79	5.393	1700000	69.0	
1615072331.99	5.393	1800000	69.0	
1615072332.19	5.393	1900000	70.0	
1615072332.39	5.393	1800000	70.0	
1615072332.59	5.393	1700000	69.0	
1615072332.79	5.477	1800000	69.0	
1615072332.99	5.477	1900000	70.0	
1615072333.19	5.477	1800000	70.0	
1615072333.39	5.477	1700000	69.0	
1615072333.59	5.477	1800000	69.0	
1615072333.79	5.065	1900000	70.0	
1615072333.99	5.065	1800000	70.0	
1615072334.19	5.065	1700000	69.0	
1615072334.39	5.065	1800000	66.0	
1615072334.59	5.065	1900000	67.0	
1615072334.79	5.26	2000000	68.0	
1615072334.99	5.26	2000000	69.0	
1615072335.19	5.26	1900000	69.0	
1615072335.39	5.26	1800000	72.0	
1615072335.59	5.26	1700000	73.0	
1615072335.79	8.267	1600000	72.0	
1615072336.0	8.267	1500000	71.0	
1615072336.2	8.267	1400000	70.0	
1615072336.4	8.267	1300000	69.0	
1615072336.6	8.267	1400000	68.0	
1615072336.8	8.267	1500000	69.0	
1615072337.0	6.153	1600000	70.0	
1615072337.2	6.153	1500000	70.0	
1615072337.4	6.153	1400000	70.0	
1615072337.6	6.153	1500000	70.0	
1615072337.8	6.565	1400000	70.0	
1615072338.0	6.565	1500000	69.0	
1615072338.2	6.565	1400000	69.0	
1615072338.4	6.565	1500000	69.0	
1615072338.6	6.565	1400000	70.0	
1615072338.8	6.55	1500000	69.0	
1615072339.0	6.55	1400000	70.0	
1615072339.2	6.55	1500000	70.0	
1615072339.4	6.55	1400000	70.0	
1615072339.6	6.55	1500000	69.0	
1615072339.8	6.584	1400000	70.0	
1615072340.0	6.584	1500000	70.0	
1615072340.2	6.584	1400000	70.0	
1615072340.4	6.584	1500000	70.0	
1615072340.6	6.584	1400000	70.0	
1615072340.8	6.763	1500000	70.0	
1615072341.01	6.763	1400000	70.0	
1615072341.21	6.763	1500000	70.0	
1615072341.41	6.763	1400000	70.0	
1615072341.61	6.763	1500000	70.0	
