time	W	Freq	Temp
1614990088.38	0.0	2000000	64.0	
1614990088.58	0.0	2000000	60.0	
1614990088.78	0.0	2000000	59.0	
1614990088.98	3.786	2000000	59.0	
1614990089.18	3.786	2000000	59.0	
1614990089.38	3.786	2000000	59.0	
1614990089.58	3.786	2000000	59.0	
1614990089.78	3.786	2000000	59.0	
1614990089.98	3.786	2000000	59.0	
1614990090.18	3.771	2000000	59.0	
1614990090.38	3.771	2000000	59.0	
1614990090.58	3.771	2000000	59.0	
1614990090.78	3.771	2000000	59.0	
1614990090.98	3.771	2000000	59.0	
1614990091.18	3.668	2000000	59.0	
1614990091.38	3.668	2000000	59.0	
1614990091.58	3.668	2000000	59.0	
1614990091.78	3.668	2000000	59.0	
1614990091.98	3.668	2000000	59.0	
1614990092.18	3.897	2000000	59.0	
1614990092.38	3.897	2000000	59.0	
1614990092.58	3.897	2000000	59.0	
1614990092.78	3.897	2000000	59.0	
1614990092.98	3.981	2000000	59.0	
1614990093.18	3.981	2000000	59.0	
1614990093.38	3.981	2000000	59.0	
1614990093.59	3.981	2000000	59.0	
1614990093.79	3.981	2000000	59.0	
1614990093.99	3.924	2000000	59.0	
1614990094.19	3.924	2000000	59.0	
1614990094.39	3.924	2000000	59.0	
1614990094.59	3.924	2000000	59.0	
1614990094.79	3.924	2000000	59.0	
1614990094.99	3.905	2000000	59.0	
1614990095.19	3.905	2000000	59.0	
1614990095.39	3.905	2000000	59.0	
1614990095.59	3.905	2000000	59.0	
1614990095.79	3.905	2000000	59.0	
1614990095.99	3.908	2000000	59.0	
1614990096.19	3.908	2000000	59.0	
1614990096.39	3.908	2000000	69.0	
1614990096.59	3.908	2000000	72.0	
1614990096.79	3.908	2000000	73.0	
1614990096.99	6.229	2000000	74.0	
1614990097.19	6.229	2000000	74.0	
1614990097.39	6.229	2000000	75.0	
1614990097.59	6.229	2000000	75.0	
1614990097.79	6.229	2000000	76.0	
1614990097.99	6.241	2000000	76.0	
1614990098.19	6.241	2000000	76.0	
1614990098.39	6.241	2000000	76.0	
1614990098.59	6.241	2000000	76.0	
1614990098.79	6.241	2000000	76.0	
1614990098.99	6.283	2000000	77.0	
1614990099.19	6.283	2000000	77.0	
1614990099.39	6.283	2000000	77.0	
1614990099.59	6.283	2000000	77.0	
1614990099.79	6.283	2000000	77.0	
1614990099.99	6.283	2000000	77.0	
1614990100.19	6.283	2000000	77.0	
1614990100.39	6.283	2000000	77.0	
1614990100.59	6.283	2000000	77.0	
1614990100.79	6.283	2000000	77.0	
1614990100.99	6.34	2000000	77.0	
1614990101.2	6.34	2000000	77.0	
1614990101.4	6.34	2000000	78.0	
1614990101.6	6.34	2000000	78.0	
1614990101.8	6.34	2000000	78.0	
1614990102.0	6.34	2000000	78.0	
1614990102.2	6.309	2000000	78.0	
1614990102.4	6.309	2000000	78.0	
1614990102.6	6.309	2000000	78.0	
1614990102.8	6.309	2000000	78.0	
1614990103.0	6.34	2000000	78.0	
1614990103.2	6.34	2000000	78.0	
1614990103.4	6.34	2000000	78.0	
1614990103.6	6.34	2000000	78.0	
1614990103.8	6.34	2000000	78.0	
1614990104.0	6.302	2000000	78.0	
1614990104.2	6.302	2000000	78.0	
1614990104.4	6.302	2000000	78.0	
1614990104.6	6.302	2000000	78.0	
1614990104.8	6.302	2000000	78.0	
1614990105.0	6.401	2000000	78.0	
1614990105.2	6.401	2000000	78.0	
1614990105.4	6.401	2000000	78.0	
1614990105.6	6.401	2000000	78.0	
1614990105.8	6.401	2000000	78.0	
1614990106.0	6.328	2000000	78.0	
1614990106.2	6.328	2000000	78.0	
1614990106.4	6.328	2000000	78.0	
1614990106.6	6.328	2000000	78.0	
1614990106.8	6.328	2000000	79.0	
1614990107.0	6.328	2000000	78.0	
1614990107.2	6.328	2000000	79.0	
1614990107.4	6.328	2000000	79.0	
1614990107.6	6.328	2000000	79.0	
1614990107.8	6.328	2000000	79.0	
1614990108.0	6.298	2000000	79.0	
1614990108.2	6.298	2000000	79.0	
1614990108.41	6.298	2000000	79.0	
1614990108.61	6.298	2000000	79.0	
1614990108.81	6.298	2000000	79.0	
1614990109.01	6.195	2000000	79.0	
1614990109.21	6.195	2000000	79.0	
1614990109.41	6.195	2000000	79.0	
1614990109.61	6.195	2000000	79.0	
1614990109.81	6.195	2000000	79.0	
1614990110.01	6.305	2000000	79.0	
1614990110.21	6.305	2000000	79.0	
1614990110.41	6.305	2000000	79.0	
1614990110.61	6.305	2000000	79.0	
1614990110.81	6.305	2000000	79.0	
1614990111.01	6.386	2000000	79.0	
1614990111.21	6.386	2000000	79.0	
1614990111.41	6.386	2000000	79.0	
1614990111.61	6.386	2000000	79.0	
1614990111.81	6.386	2000000	79.0	
1614990112.01	6.397	2000000	79.0	
1614990112.21	6.397	2000000	79.0	
1614990112.41	6.397	2000000	79.0	
1614990112.61	6.397	2000000	79.0	
1614990112.81	6.397	2000000	79.0	
1614990113.01	6.424	2000000	79.0	
1614990113.21	6.424	2000000	79.0	
1614990113.41	6.424	2000000	79.0	
1614990113.61	6.424	2000000	79.0	
1614990113.81	6.424	2000000	79.0	
1614990114.01	6.382	2000000	79.0	
1614990114.21	6.382	2000000	79.0	
1614990114.41	6.382	2000000	79.0	
1614990114.61	6.382	2000000	79.0	
1614990114.81	6.382	2000000	79.0	
1614990115.01	6.374	2000000	79.0	
1614990115.21	6.374	2000000	79.0	
1614990115.41	6.374	2000000	79.0	
1614990115.61	6.374	2000000	81.0	
1614990115.82	6.374	2000000	80.0	
1614990116.02	6.374	2000000	80.0	
1614990116.22	6.374	2000000	80.0	
1614990116.42	6.374	2000000	80.0	
1614990116.62	7.653	2000000	80.0	
1614990116.82	7.653	2000000	80.0	
1614990117.02	7.653	2000000	79.0	
1614990117.22	6.351	2000000	79.0	
1614990117.42	6.351	2000000	79.0	
1614990117.62	6.351	2000000	80.0	
1614990117.82	6.351	2000000	80.0	
1614990118.02	6.382	2000000	80.0	
1614990118.22	6.382	2000000	80.0	
1614990118.42	6.382	2000000	80.0	
1614990118.62	6.382	2000000	80.0	
1614990118.82	6.382	2000000	80.0	
1614990119.02	6.363	2000000	80.0	
1614990119.22	6.363	2000000	80.0	
1614990119.42	6.363	2000000	80.0	
1614990119.62	6.363	2000000	80.0	
1614990119.82	6.363	2000000	80.0	
1614990120.02	6.332	2000000	80.0	
1614990120.22	6.332	2000000	80.0	
1614990120.42	6.332	2000000	80.0	
1614990120.62	6.332	2000000	80.0	
1614990120.82	6.332	2000000	80.0	
1614990121.02	6.332	2000000	80.0	
1614990121.22	6.332	2000000	80.0	
1614990121.42	6.695	2000000	80.0	
1614990121.62	6.695	2000000	80.0	
1614990121.82	6.695	2000000	80.0	
1614990122.02	6.347	2000000	80.0	
1614990122.22	6.347	2000000	80.0	
1614990122.42	6.347	2000000	80.0	
1614990122.62	6.347	2000000	80.0	
1614990122.82	6.347	2000000	80.0	
1614990123.03	6.344	2000000	80.0	
1614990123.23	6.344	2000000	80.0	
1614990123.43	6.344	2000000	80.0	
1614990123.63	6.344	2000000	80.0	
1614990123.83	6.344	2000000	80.0	
1614990124.03	6.397	2000000	80.0	
1614990124.23	6.397	2000000	80.0	
1614990124.43	6.397	2000000	80.0	
1614990124.63	6.397	2000000	80.0	
1614990124.83	6.397	2000000	80.0	
1614990125.03	6.351	2000000	80.0	
1614990125.23	6.351	2000000	80.0	
1614990125.43	6.351	2000000	80.0	
1614990125.63	6.351	2000000	80.0	
1614990125.83	6.351	2000000	80.0	
1614990126.03	6.378	2000000	80.0	
1614990126.23	6.378	2000000	80.0	
1614990126.43	6.378	2000000	80.0	
1614990126.63	6.378	2000000	80.0	
1614990126.83	6.378	2000000	80.0	
1614990127.03	6.263	2000000	80.0	
1614990127.23	6.263	2000000	80.0	
1614990127.43	6.263	2000000	80.0	
1614990127.63	6.263	2000000	80.0	
1614990127.83	6.263	2000000	80.0	
1614990128.03	6.263	2000000	80.0	
1614990128.23	6.263	2000000	80.0	
1614990128.43	6.263	2000000	80.0	
1614990128.63	6.263	2000000	80.0	
1614990128.83	6.263	2000000	80.0	
1614990129.03	6.389	2000000	80.0	
1614990129.23	6.389	2000000	80.0	
1614990129.43	6.389	2000000	80.0	
1614990129.63	6.389	2000000	80.0	
1614990129.83	6.389	2000000	80.0	
1614990130.03	6.351	2000000	80.0	
1614990130.24	6.351	2000000	80.0	
1614990130.44	6.351	2000000	80.0	
1614990130.64	6.351	2000000	80.0	
1614990130.84	6.351	2000000	80.0	
1614990131.04	6.344	2000000	80.0	
1614990131.24	6.344	2000000	80.0	
1614990131.44	6.344	2000000	80.0	
1614990131.64	6.344	2000000	80.0	
1614990131.84	6.344	2000000	80.0	
1614990132.04	6.409	2000000	80.0	
1614990132.24	6.409	2000000	80.0	
1614990132.44	6.409	2000000	80.0	
1614990132.64	6.409	2000000	80.0	
1614990132.84	6.409	2000000	80.0	
1614990133.04	6.397	2000000	80.0	
1614990133.24	6.397	2000000	80.0	
1614990133.44	6.397	2000000	80.0	
1614990133.64	6.397	2000000	80.0	
1614990133.84	6.397	2000000	80.0	
1614990134.04	6.447	2000000	80.0	
1614990134.24	6.447	2000000	80.0	
1614990134.44	6.447	2000000	80.0	
1614990134.64	6.447	2000000	80.0	
1614990134.84	6.447	2000000	80.0	
1614990135.04	6.37	2000000	80.0	
1614990135.24	6.37	2000000	80.0	
1614990135.44	6.37	2000000	80.0	
1614990135.64	6.37	2000000	80.0	
1614990135.84	6.37	2000000	80.0	
1614990136.04	6.435	2000000	80.0	
1614990136.24	6.435	2000000	80.0	
1614990136.44	6.435	2000000	80.0	
1614990136.64	6.435	2000000	80.0	
1614990136.84	6.435	2000000	80.0	
1614990137.04	6.363	2000000	80.0	
1614990137.24	6.363	2000000	80.0	
1614990137.44	6.363	2000000	81.0	
1614990137.64	6.363	2000000	80.0	
1614990137.85	6.363	2000000	80.0	
1614990138.05	6.428	2000000	80.0	
1614990138.25	6.428	2000000	81.0	
1614990138.45	6.428	2000000	81.0	
1614990138.65	6.428	2000000	80.0	
1614990138.85	6.428	2000000	81.0	
1614990139.05	6.397	2000000	81.0	
1614990139.25	6.397	2000000	81.0	
1614990139.45	6.397	2000000	76.0	
1614990139.65	6.397	2000000	76.0	
1614990139.85	6.473	2000000	76.0	
1614990140.05	6.473	2000000	81.0	
1614990140.25	6.473	2000000	84.0	
1614990140.45	6.473	1900000	85.0	
1614990140.65	6.473	2000000	85.0	
1614990140.85	6.473	2000000	88.0	
1614990141.05	6.473	1800000	86.0	
1614990141.25	10.905	1900000	85.0	
1614990141.45	10.905	1800000	86.0	
1614990141.65	10.905	1800000	84.0	
1614990141.85	10.905	1900000	86.0	
1614990142.05	9.725	1700000	84.0	
1614990142.25	9.725	1800000	83.0	
1614990142.45	9.725	1800000	83.0	
1614990142.65	9.725	1800000	84.0	
1614990142.85	9.725	1800000	84.0	
1614990143.05	9.359	1800000	84.0	
1614990143.26	9.359	1800000	84.0	
1614990143.46	9.359	1800000	84.0	
1614990143.66	9.359	1800000	84.0	
1614990143.86	9.386	1800000	84.0	
1614990144.06	9.386	1800000	84.0	
1614990144.26	9.386	1800000	84.0	
1614990144.46	9.386	1800000	84.0	
1614990144.66	9.386	1800000	84.0	
1614990144.86	9.386	1800000	84.0	
1614990145.06	9.386	1800000	84.0	
1614990145.26	9.386	1800000	84.0	
1614990145.46	9.386	1800000	84.0	
1614990145.66	9.386	1800000	83.0	
1614990145.86	9.386	1800000	84.0	
1614990146.06	9.164	1800000	84.0	
1614990146.26	9.164	1800000	85.0	
1614990146.46	9.164	1700000	83.0	
1614990146.66	9.164	1800000	84.0	
1614990146.86	9.164	1800000	83.0	
1614990147.06	8.622	1800000	84.0	
1614990147.26	8.622	1800000	85.0	
1614990147.46	8.622	1700000	84.0	
1614990147.67	8.622	1800000	84.0	
1614990147.87	8.752	1800000	84.0	
1614990148.07	8.752	1800000	84.0	
1614990148.27	8.752	1800000	85.0	
1614990148.47	8.752	1700000	84.0	
1614990148.67	8.752	1800000	83.0	
1614990148.87	8.752	1800000	84.0	
1614990149.07	8.897	1800000	85.0	
1614990149.27	8.897	1700000	83.0	
1614990149.47	8.897	1800000	84.0	
1614990149.67	8.897	1800000	84.0	
1614990149.87	8.897	1800000	85.0	
1614990150.07	8.897	1700000	84.0	
1614990150.27	8.897	1800000	84.0	
1614990150.47	8.897	1800000	84.0	
1614990150.67	8.897	1800000	85.0	
1614990150.87	8.897	1700000	84.0	
1614990151.07	8.897	1800000	84.0	
1614990151.27	8.897	1700000	84.0	
1614990151.47	8.897	1700000	83.0	
1614990151.67	8.897	1800000	84.0	
1614990151.87	8.897	1800000	85.0	
1614990152.08	8.897	1700000	84.0	
1614990152.28	8.897	1700000	83.0	
1614990152.48	8.897	1800000	85.0	
1614990152.68	8.897	1700000	84.0	
1614990152.88	8.897	1800000	84.0	
1614990153.08	8.531	1800000	85.0	
1614990153.28	8.531	1700000	84.0	
1614990153.48	8.531	1800000	84.0	
1614990153.68	8.531	1700000	84.0	
1614990153.88	8.531	1700000	84.0	
1614990154.08	9.416	1800000	85.0	
1614990154.28	9.416	1700000	84.0	
1614990154.48	9.416	1800000	84.0	
1614990154.68	9.416	1700000	85.0	
1614990154.88	9.416	1700000	84.0	
1614990155.08	9.26	1800000	85.0	
1614990155.28	9.26	1700000	84.0	
1614990155.48	9.26	1800000	84.0	
1614990155.68	9.26	1800000	85.0	
1614990155.88	9.26	1700000	84.0	
1614990156.08	9.214	1800000	85.0	
1614990156.28	9.214	1700000	84.0	
1614990156.48	9.214	1700000	84.0	
1614990156.68	9.214	1800000	85.0	
1614990156.89	8.737	1700000	84.0	
1614990157.09	8.737	1800000	84.0	
1614990157.29	8.737	1700000	85.0	
1614990157.49	8.737	1700000	84.0	
1614990157.69	8.737	1800000	85.0	
1614990157.89	8.775	1700000	84.0	
1614990158.09	8.775	1800000	84.0	
1614990158.29	8.775	1800000	85.0	
1614990158.49	8.775	1700000	84.0	
1614990158.69	8.775	1800000	85.0	
1614990158.89	8.775	1700000	84.0	
1614990159.09	9.092	1700000	84.0	
1614990159.29	9.092	1800000	85.0	
1614990159.49	9.092	1700000	84.0	
1614990159.69	9.092	1800000	85.0	
1614990159.89	9.092	1700000	85.0	
1614990160.09	9.145	1700000	84.0	
1614990160.29	9.145	1800000	85.0	
1614990160.49	9.145	1600000	84.0	
1614990160.69	9.145	1700000	83.0	
1614990160.89	9.145	1700000	83.0	
1614990161.09	8.233	1700000	83.0	
1614990161.29	8.233	1700000	83.0	
1614990161.5	8.233	1700000	83.0	
1614990161.7	8.233	1700000	83.0	
1614990161.9	8.233	1700000	83.0	
1614990162.1	8.55	1700000	83.0	
1614990162.3	8.55	1700000	83.0	
