time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1614983166.67	8.687	0.222	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983166.87	8.66	0.211	0.05	0.048	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983167.07	8.66	0.158	0.0	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	77.0	
1614983167.27	8.66	0.158	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983167.47	8.66	0.35	0.2	0.1	0.105	1.0	1.0	1.0	1.0	80.0	84.0	83.0	77.0	
1614983167.67	8.66	0.118	0.0	0.0	0.0	0.952	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983167.87	8.767	0.25	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983168.07	8.767	0.2	0.0	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	77.0	
1614983168.27	8.767	0.211	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983168.47	8.767	0.211	0.0	0.05	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983168.67	8.767	0.118	0.095	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	83.0	77.0	
1614983168.87	9.119	0.167	0.0	0.0	0.0	1.0	0.955	1.0	1.0	80.0	85.0	84.0	77.0	
1614983169.08	9.119	0.158	0.05	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	77.0	
1614983169.28	9.119	0.211	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983169.48	9.119	0.211	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983169.68	9.119	0.056	0.0	0.048	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	77.0	
1614983169.88	8.973	0.2	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983170.08	8.973	0.238	0.05	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	84.0	77.0	
1614983170.28	8.973	0.111	0.0	0.048	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983170.48	8.973	0.25	0.095	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983170.68	8.973	0.158	0.053	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	77.0	
1614983170.88	8.817	0.176	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983171.08	8.817	0.15	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983171.28	8.817	0.111	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	83.0	77.0	
1614983171.48	8.817	0.211	0.0	0.0	0.0	1.0	1.0	1.0	1.0	81.0	85.0	84.0	78.0	
1614983171.68	8.817	0.167	0.0	0.0	0.048	1.0	1.0	1.0	1.0	80.0	84.0	83.0	77.0	
1614983171.88	8.744	0.211	0.136	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983172.08	8.744	0.2	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983172.28	8.744	0.118	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	83.0	77.0	
1614983172.48	8.744	0.211	0.05	0.0	0.0	0.95	1.0	1.0	1.0	81.0	85.0	84.0	77.0	
