time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1614981675.46	4.027	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	63.0	62.0	60.0	
1614981675.66	4.027	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	61.0	63.0	62.0	60.0	
1614981675.86	4.019	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	63.0	62.0	60.0	
1614981676.06	4.019	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	62.0	62.0	60.0	
1614981676.26	4.019	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	62.0	62.0	59.0	
1614981676.46	4.019	0.095	0.0	0.0	0.0	0.0	0.048	0.0	0.0	61.0	62.0	62.0	59.0	
1614981676.66	4.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	62.0	62.0	59.0	
1614981676.86	4.019	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.0	61.0	62.0	62.0	59.0	
1614981677.06	3.985	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	62.0	62.0	59.0	
1614981677.26	3.985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	62.0	62.0	59.0	
1614981677.46	3.985	0.1	0.0	0.0	0.0	0.05	0.0	0.0	0.0	60.0	62.0	61.0	59.0	
1614981677.66	3.985	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	60.0	62.0	61.0	59.0	
1614981677.86	3.985	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	62.0	61.0	59.0	
1614981678.06	4.0	0.095	0.0	0.0	0.0	0.05	0.0	0.0	0.0	60.0	62.0	61.0	59.0	
1614981678.26	4.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	60.0	62.0	61.0	59.0	
1614981678.46	4.0	0.095	0.0	0.0	0.0	0.0	0.048	0.0	0.0	60.0	62.0	61.0	59.0	
1614981678.66	4.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	62.0	61.0	59.0	
1614981678.86	4.012	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	60.0	62.0	61.0	59.0	
1614981679.06	4.012	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	59.0	
1614981679.26	4.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	59.0	
1614981679.46	4.012	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	59.0	
1614981679.66	4.012	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	60.0	61.0	61.0	59.0	
1614981679.86	3.973	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	59.0	
1614981680.07	3.973	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	58.0	
1614981680.27	3.973	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	58.0	
1614981680.47	3.973	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	58.0	
1614981680.67	3.973	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	60.0	61.0	61.0	58.0	
1614981680.87	3.947	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.0	60.0	61.0	61.0	58.0	
1614981681.07	3.947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	58.0	
1614981681.27	3.947	0.095	0.0	0.0	0.0	0.048	0.0	0.0	0.0	60.0	61.0	61.0	58.0	
1614981681.47	3.947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	58.0	
1614981681.67	3.947	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	58.0	
1614981681.87	3.954	0.05	0.0	0.0	0.0	0.048	0.0	0.0	0.0	60.0	61.0	61.0	58.0	
1614981682.07	3.954	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	61.0	61.0	58.0	
1614981682.27	3.954	0.3	0.1	0.0	0.0	0.263	0.3	0.1	0.048	61.0	62.0	61.0	59.0	
1614981682.47	3.954	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	73.0	64.0	62.0	60.0	
1614981682.67	3.954	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	76.0	66.0	64.0	61.0	
1614981682.87	5.729	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	77.0	67.0	65.0	62.0	
1614981683.07	5.729	0.05	0.0	0.0	0.0	1.0	0.048	0.0	0.0	78.0	68.0	65.0	62.0	
1614981683.27	5.729	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	79.0	69.0	66.0	63.0	
1614981683.47	5.729	0.1	0.0	0.0	0.0	1.0	0.0	0.056	0.0	79.0	69.0	67.0	63.0	
1614981683.67	5.729	0.0	0.0	0.0	0.0	1.0	0.05	0.0	0.0	80.0	70.0	67.0	64.0	
1614981683.87	7.309	0.05	0.0	0.0	0.0	1.0	0.0	0.048	0.0	80.0	70.0	67.0	64.0	
1614981684.07	7.309	0.095	0.0	0.0	0.0	1.0	0.05	0.0	0.0	80.0	70.0	67.0	64.0	
1614981684.27	7.309	0.0	0.0	0.0	0.0	1.0	0.05	0.0	0.0	80.0	70.0	67.0	64.0	
1614981684.47	7.309	0.095	0.0	0.0	0.0	1.0	0.095	0.0	0.0	81.0	71.0	67.0	65.0	
1614981684.67	7.309	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	81.0	71.0	68.0	65.0	
1614981684.87	7.237	0.1	0.0	0.0	0.0	1.0	0.048	0.048	0.0	81.0	71.0	68.0	65.0	
