time	W	Freq	Temp
1615070840.7	6.5	1400000	69.0	
1615070840.9	6.569	1500000	70.0	
1615070841.1	6.569	1400000	69.0	
1615070841.3	6.569	1500000	70.0	
1615070841.5	6.569	1400000	69.0	
1615070841.7	6.569	1500000	70.0	
1615070841.9	6.672	1400000	69.0	
1615070842.1	6.672	1500000	70.0	
1615070842.3	6.672	1400000	69.0	
1615070842.5	6.672	1500000	70.0	
1615070842.7	6.672	1400000	70.0	
1615070842.9	6.951	1500000	70.0	
1615070843.1	6.951	1400000	69.0	
1615070843.3	6.951	1300000	69.0	
1615070843.51	6.951	1400000	69.0	
1615070843.71	6.951	1500000	69.0	
1615070843.91	6.741	1400000	69.0	
1615070844.11	6.741	1500000	70.0	
1615070844.31	6.741	1400000	69.0	
1615070844.51	6.741	1300000	69.0	
1615070844.71	6.451	1400000	69.0	
1615070844.91	6.451	1500000	70.0	
1615070845.11	6.451	1400000	70.0	
1615070845.31	6.451	1500000	70.0	
1615070845.51	6.451	1400000	69.0	
1615070845.71	6.752	1300000	69.0	
1615070845.91	6.752	1400000	69.0	
1615070846.11	6.752	1500000	70.0	
1615070846.31	6.752	1400000	70.0	
1615070846.51	6.752	1500000	70.0	
1615070846.71	6.752	1400000	70.0	
1615070846.91	6.714	1300000	69.0	
1615070847.11	6.714	1400000	69.0	
1615070847.31	6.714	1500000	70.0	
1615070847.51	6.714	1400000	70.0	
1615070847.71	6.714	1300000	69.0	
1615070847.91	6.851	1400000	69.0	
1615070848.11	6.851	1500000	70.0	
1615070848.32	6.851	1400000	69.0	
1615070848.52	6.851	1500000	70.0	
1615070848.72	6.805	1400000	69.0	
1615070848.92	6.805	1300000	69.0	
1615070849.12	6.805	1400000	69.0	
1615070849.32	6.805	1500000	69.0	
1615070849.52	6.805	1400000	69.0	
1615070849.72	6.805	1500000	70.0	
1615070849.92	6.836	1400000	69.0	
1615070850.12	6.836	1500000	70.0	
1615070850.32	6.836	1400000	70.0	
1615070850.52	6.836	1300000	69.0	
1615070850.72	6.363	1400000	69.0	
1615070850.92	6.363	1500000	70.0	
1615070851.12	6.363	1400000	70.0	
1615070851.32	6.363	1300000	68.0	
1615070851.52	6.363	1400000	69.0	
1615070851.72	6.363	1500000	70.0	
1615070851.92	6.363	1400000	70.0	
1615070852.12	6.065	1500000	70.0	
1615070852.32	6.065	1400000	70.0	
1615070852.52	6.065	1300000	69.0	
1615070852.72	6.065	1400000	69.0	
1615070852.92	6.313	1500000	70.0	
1615070853.13	6.313	1400000	70.0	
1615070853.33	6.313	1500000	70.0	
1615070853.53	6.313	1400000	70.0	
1615070853.73	6.714	1300000	69.0	
1615070853.93	6.714	1400000	69.0	
1615070854.13	6.714	1500000	70.0	
1615070854.33	6.714	1400000	69.0	
1615070854.53	6.714	1300000	69.0	
1615070854.73	6.458	1400000	69.0	
1615070854.93	6.458	1500000	70.0	
1615070855.13	6.458	1400000	70.0	
1615070855.33	6.458	1300000	68.0	
1615070855.53	6.458	1400000	69.0	
1615070855.73	6.458	1500000	70.0	
1615070855.93	6.279	1400000	70.0	
1615070856.13	6.279	1300000	68.0	
1615070856.33	6.279	1400000	69.0	
1615070856.53	6.279	1500000	70.0	
1615070856.73	6.279	1400000	69.0	
1615070856.93	7.004	1300000	69.0	
1615070857.13	7.004	1400000	69.0	
1615070857.33	7.004	1500000	70.0	
1615070857.53	7.004	1400000	70.0	
1615070857.73	6.557	1500000	70.0	
1615070857.94	6.557	1400000	70.0	
1615070858.14	6.557	1300000	69.0	
1615070858.34	6.557	1400000	69.0	
1615070858.54	6.557	1300000	69.0	
1615070858.74	6.515	1400000	69.0	
1615070858.94	6.515	1500000	70.0	
1615070859.14	6.515	1400000	70.0	
1615070859.34	6.515	1300000	69.0	
1615070859.54	6.515	1400000	69.0	
1615070859.74	6.061	1500000	70.0	
1615070859.94	6.061	1400000	70.0	
1615070860.14	6.061	1300000	69.0	
1615070860.34	6.061	1400000	69.0	
1615070860.54	6.061	1500000	70.0	
1615070860.74	6.061	1400000	69.0	
1615070860.94	6.889	1500000	70.0	
1615070861.14	6.889	1400000	70.0	
1615070861.34	6.889	1300000	69.0	
1615070861.54	6.889	1400000	69.0	
1615070861.74	6.29	1500000	70.0	
1615070861.94	6.29	1400000	70.0	
1615070862.14	6.29	1300000	69.0	
1615070862.34	6.29	1400000	69.0	
1615070862.54	6.29	1300000	69.0	
1615070862.75	6.309	1400000	69.0	
1615070862.95	6.309	1500000	70.0	
1615070863.15	6.309	1400000	70.0	
1615070863.35	6.309	1300000	69.0	
1615070863.55	6.309	1400000	69.0	
1615070863.75	6.309	1300000	69.0	
1615070863.95	6.252	1400000	69.0	
1615070864.15	6.252	1500000	70.0	
1615070864.35	6.252	1400000	70.0	
1615070864.55	6.252	1300000	69.0	
1615070864.75	6.21	1400000	69.0	
1615070864.95	6.21	1500000	70.0	
1615070865.15	6.21	1400000	70.0	
1615070865.35	6.21	1300000	69.0	
1615070865.55	6.21	1400000	70.0	
1615070865.75	6.286	1300000	69.0	
1615070865.95	6.286	1400000	69.0	
1615070866.15	6.286	1500000	70.0	
1615070866.35	6.286	1400000	70.0	
1615070866.55	6.286	1300000	69.0	
1615070866.75	6.382	1400000	69.0	
1615070866.95	6.382	1500000	70.0	
1615070867.15	6.382	1400000	70.0	
1615070867.36	6.382	1300000	69.0	
1615070867.56	6.382	1400000	69.0	
1615070867.76	6.473	1300000	69.0	
1615070867.96	6.473	1400000	70.0	
1615070868.16	6.473	1300000	69.0	
1615070868.36	6.473	1400000	69.0	
1615070868.56	6.473	1500000	70.0	
1615070868.76	6.473	1400000	70.0	
1615070868.96	6.401	1300000	69.0	
1615070869.16	6.401	1400000	69.0	
1615070869.36	6.401	1300000	68.0	
1615070869.56	6.401	1400000	69.0	
1615070869.76	6.401	1300000	69.0	
1615070869.96	6.401	1400000	69.0	
1615070870.16	6.073	1300000	69.0	
1615070870.36	6.073	1400000	69.0	
1615070870.56	6.073	1300000	69.0	
1615070870.76	6.397	1400000	69.0	
1615070870.96	6.397	1500000	70.0	
1615070871.16	6.397	1400000	70.0	
1615070871.36	6.397	1300000	69.0	
1615070871.56	6.397	1400000	69.0	
1615070871.76	6.397	1300000	69.0	
1615070871.96	6.702	1400000	69.0	
1615070872.16	6.702	1300000	69.0	
1615070872.37	6.702	1400000	70.0	
1615070872.57	6.702	1300000	69.0	
1615070872.77	6.519	1400000	70.0	
1615070872.97	6.519	1300000	69.0	
1615070873.17	6.519	1400000	70.0	
1615070873.37	6.519	1300000	69.0	
1615070873.57	6.519	1400000	70.0	
1615070873.77	6.409	1300000	69.0	
1615070873.97	6.409	1400000	69.0	
1615070874.17	6.409	1500000	70.0	
1615070874.37	6.409	1400000	70.0	
1615070874.57	6.409	1300000	69.0	
1615070874.77	6.367	1400000	70.0	
1615070874.97	6.367	1300000	69.0	
1615070875.17	6.367	1400000	69.0	
1615070875.37	6.367	1300000	69.0	
1615070875.57	6.367	1400000	70.0	
1615070875.77	6.367	1300000	69.0	
1615070875.97	6.367	1400000	70.0	
1615070876.17	6.367	1500000	71.0	
1615070876.37	6.367	1400000	70.0	
1615070876.57	6.367	1300000	69.0	
1615070876.77	6.367	1400000	69.0	
1615070876.97	6.367	1300000	69.0	
1615070877.18	6.367	1400000	69.0	
1615070877.38	6.367	1500000	70.0	
1615070877.58	6.367	1400000	70.0	
1615070877.78	6.367	1300000	69.0	
1615070877.98	6.367	1400000	70.0	
1615070878.18	6.367	1300000	69.0	
1615070878.38	6.367	1400000	69.0	
1615070878.58	6.367	1500000	70.0	
1615070878.78	6.367	1400000	70.0	
1615070878.98	6.367	1300000	69.0	
1615070879.18	6.367	1400000	70.0	
1615070879.38	6.367	1300000	69.0	
1615070879.58	6.367	1400000	70.0	
1615070879.78	6.638	1300000	69.0	
1615070879.98	6.638	1400000	69.0	
1615070880.18	6.638	1300000	69.0	
1615070880.38	6.172	1400000	70.0	
1615070880.58	6.172	1300000	69.0	
1615070880.78	6.172	1400000	70.0	
1615070880.98	6.34	1300000	69.0	
1615070881.18	6.34	1400000	70.0	
1615070881.38	6.34	1300000	69.0	
1615070881.58	6.34	1400000	70.0	
1615070881.79	6.409	1300000	69.0	
1615070881.99	6.409	1400000	70.0	
1615070882.19	6.409	1300000	69.0	
1615070882.39	6.409	1400000	70.0	
1615070882.59	6.409	1300000	68.0	
1615070882.79	6.508	1400000	70.0	
1615070882.99	6.508	1300000	69.0	
1615070883.19	6.508	1400000	69.0	
1615070883.39	6.508	1300000	69.0	
1615070883.59	6.508	1400000	70.0	
1615070883.79	5.916	1500000	71.0	
1615070883.99	5.916	1400000	70.0	
1615070884.19	5.916	1300000	69.0	
1615070884.39	5.916	1400000	70.0	
1615070884.59	5.916	1300000	69.0	
1615070884.79	6.367	1400000	70.0	
1615070884.99	6.367	1300000	69.0	
1615070885.19	6.367	1400000	70.0	
1615070885.39	6.367	1300000	69.0	
1615070885.59	6.367	1400000	70.0	
1615070885.79	6.477	1300000	69.0	
1615070885.99	6.477	1400000	70.0	
1615070886.19	6.477	1300000	69.0	
1615070886.4	6.477	1400000	70.0	
1615070886.6	6.477	1300000	69.0	
1615070886.8	6.401	1400000	70.0	
1615070887.0	6.401	1300000	69.0	
1615070887.2	6.401	1400000	70.0	
1615070887.4	6.401	1300000	69.0	
1615070887.6	6.401	1400000	70.0	
1615070887.8	6.302	1300000	69.0	
1615070888.0	6.302	1400000	70.0	
1615070888.2	6.302	1300000	69.0	
1615070888.4	6.302	1400000	70.0	
1615070888.6	6.302	1300000	69.0	
1615070888.8	6.061	1400000	70.0	
1615070889.0	6.061	1300000	69.0	
1615070889.2	6.061	1400000	70.0	
1615070889.4	6.061	1300000	69.0	
1615070889.6	6.061	1400000	70.0	
1615070889.8	6.225	1300000	69.0	
1615070890.0	6.225	1400000	70.0	
1615070890.2	6.225	1300000	69.0	
1615070890.4	6.225	1400000	69.0	
1615070890.6	6.225	1500000	71.0	
1615070890.8	6.363	1400000	70.0	
1615070891.0	6.363	1300000	70.0	
1615070891.21	6.363	1200000	69.0	
1615070891.41	6.363	1300000	69.0	
1615070891.61	6.363	1400000	70.0	
1615070891.81	6.374	1300000	69.0	
1615070892.01	6.374	1400000	70.0	
1615070892.21	6.374	1300000	69.0	
1615070892.41	6.374	1400000	70.0	
1615070892.61	6.374	1300000	69.0	
1615070892.81	6.012	1400000	70.0	
1615070893.01	6.012	1300000	69.0	
1615070893.21	6.012	1400000	69.0	
1615070893.41	6.012	1300000	69.0	
1615070893.61	6.012	1400000	70.0	
1615070893.81	6.225	1300000	69.0	
1615070894.01	6.225	1400000	70.0	
1615070894.21	6.225	1300000	69.0	
1615070894.41	6.225	1200000	69.0	
1615070894.61	6.225	1300000	68.0	
1615070894.81	5.867	1400000	70.0	
1615070895.01	5.867	1300000	69.0	
1615070895.21	5.867	1400000	70.0	
1615070895.41	5.867	1300000	69.0	
1615070895.61	5.867	1400000	70.0	
1615070895.81	6.221	1300000	69.0	
1615070896.01	6.221	1400000	70.0	
1615070896.21	6.221	1300000	69.0	
1615070896.42	6.221	1400000	70.0	
1615070896.62	6.221	1300000	70.0	
1615070896.82	6.221	1200000	69.0	
1615070897.02	6.317	1300000	69.0	
1615070897.22	6.317	1400000	70.0	
1615070897.42	6.317	1300000	69.0	
1615070897.62	6.317	1400000	70.0	
1615070897.82	6.141	1300000	69.0	
1615070898.02	6.141	1400000	70.0	
1615070898.22	6.141	1300000	69.0	
1615070898.42	6.141	1200000	69.0	
1615070898.62	6.141	1300000	69.0	
1615070898.82	5.867	1400000	70.0	
1615070899.02	5.867	1300000	69.0	
1615070899.22	5.867	1400000	70.0	
